# Chataigne 简体中文 / English translation table
# Format: 中文<TAB>English
# Keep English source text stable; user-created names and project data are not part of this file.
文件	File
自定义	Custom
清除范围	Clear Range
始终通知更改	Always Notify changes
手动	Manual
表达式	Expression
引用	Reference
动画	Animation
最小值	Minimum
最大值	Maximum
值	Value
键	Key
目标已销毁	Target destroyed
全局设置	Global Settings
启动和更新	Startup and Update
界面	Interface
保存和加载	Save and Load
编辑	Editing
启动参数	Launch Arguments
其他设置	Other Settings
界面语言	Interface Language
英语	English
简体中文	Chinese (Simplified)
简体中文 + English	Chinese (Simplified) + English
帮助语言	Help language
字体	Font family
界面缩放	Interface scale
字号	Font size
字重	Font weight
常规	Regular
中等	Medium
半粗	Semibold
粗体	Bold
特粗	Heavy
细体	Light
纤细	Thin
超细	Ultralight
重新加载字体渲染器	Reload font renderer
启用工具提示	Enable Tooltips
使用 OpenGL 渲染器	Use OpenGL Renderer
界面刷新率	UI Refresh Rate
日志刷新率	Logger Refresh Rate
窗口置顶	Always on top
系统默认	System default
启用自动保存	Enable auto-save
自动保存当前文件	Auto-save current file
仅在更改后自动保存	Auto-save on change only
启动时询问是否恢复	Ask to restore on startup
自动保存数量	Auto-save count
自动保存间隔	Auto-save time
压缩文件	Compress file
记录自动保存日志	Log auto-save
崩溃时操作	Action On Crash
报告	Report
终止	Kill
重新打开	Reopen
恢复	Recover
自动发送崩溃日志	Auto send crash log
崩溃联系邮箱	Crash Contact Mail
保存日志	Save logs
删除项目之前询问	Ask before removing items
默认缓动	Default Easing
模块参数	Module Parameters
默认行为	Default Behaviors
记录输入	Log Incoming
记录输出	Log Outgoing
已连接	Is Connected
已连接	Connected
已连接客户端	Connected Clients
使用安全连接	Use Secure Connection
服务器	Server
服务器名称	Server Name
服务器路径	Server Path
本地端口	Local Port
远程端口	Remote Port
端口	Port
地址	Address
主机	Host
IP 地址	IP Address
网络接口	Network Interface
目标	Target
位置	Position
颜色	Color
类型	Type
名称	Name
描述	Description
模式	Mode
控制模式	Control Mode
控制地址	Control Address
脚本控制地址	Script Control Address
OSC 控制地址	OSC Control Address
自动触发	Auto Trigger
自动开始	Auto Start
自动停止	Auto Stop
结束后自动下一个	Auto Next On Finish
循环	Loop
始终更新	Always Update
播放时发送	Send On Play
停止时发送	Send On Stop
跳转时发送	Send On Seek
当前提示	Current Cue
下一个提示	Next Cue
当前提示名称	Current Cue Name
下一个提示名称	Next Cue Name
当前颜色	Current Color
下一个颜色	Next Color
当前文字颜色	Current Text Color
下一个文字颜色	Next Text Color
起始通道	Start Channel
结束通道	End Channel
通道	Channel
宇宙	Universe
字节序	Byte Order
发送模式	Send Mode
启用回环	Loopback Enabled
插槽数量	Num Slots
插槽	Slot
录制	Arm
自动停止录制	Auto Disarm
背景路径	Background Path
背景缩放	Background Scale
背景不透明度	Background Opacity
显示调试信息	Show Debug
安全区域	Safe Zone
使用吸引力	Use Attraction
吸引力模式	Attraction Mode
吸引力速度	Attraction Speed
吸引力衰减	Attraction Decay
权重	Weight
插值进度	Interpolation Progress
默认加载时间	Default Load Time
关键帧吸附到帧	Snap Keys to Frames
MTC 帧率	MTC Framerate
LTC 模式	LTC Mode
发送帧率	Send FPS
同步偏移	Sync Offset
反向偏移	Reverse Offset
MTC 停止时重置	Reset on MTC Stop
正在加载文件…	Loading File...
客户端	clients
客户端	client
赞助	sponsorship
捐赠	donation
没有可粘贴的内容	Nothing to paste
没有可删除的项目	Nothing to delete
没有可复制的项目	Nothing to duplicate
选择	Select
[无内容]	[No content]
设置范围…	Set Range...
粘贴（添加）	Paste (add)
粘贴（替换）	Paste (replace)
添加…	Add...
添加项目	Add item
添加项目	Add Item
切换子项目	Toggle childrens
切换子项目	Toggle children
复制此行（仅内容）	Copy this line (Content only)
复制此行（全部）	Copy this line (All)
将包络导出到新的映射层	Export Enveloppe to new mapping layer
将包络导出到剪贴板	Export Enveloppe to clipboard
将包络导出到剪贴板（仅数据）	Export Enveloppe to clipboard (data only)
将烘焙值导出到剪贴板	Export baked values to clipboard
将烘焙值导出到剪贴板（仅数据）	Export baked values to clipboard (data only)
复制滤镜	Copy filters
粘贴滤镜	Paste filters
复制输出	Copy outputs
粘贴输出	Paste outputs
复制输入	Copy inputs
粘贴输入	Paste inputs
强制相对路径	Force Relative Path
强制绝对路径	Force Absolute Path
在访达中显示	Show in Explorer
十六进制模式	Hex Mode
拉伸模式	Stretch Mode
反转 X	Invert X
反转 Y	Invert Y
插值	Interpolation
线性	Linear
无	None
不透明	Opaque
未连接	Not connected
不使用输入	Don't use input
不使用输出	Don't use output
未找到服务	No service found
移除	Remove
获取更多模块…	Get more modules...
通用	Generic
脚本回调	Script callback
选择一个元素	Select an element
添加状态	Add State
添加注释	Add Comment
创建过渡	Create Transition
从此处创建过渡	Create Transition from here
吸附	Snapping
隐藏工具	Hide Tools
显示工具	Show Tools
最大化	Maximize
最小化	Minimize
将所有变量发送到仪表板	Send All Variables to Dashboard
添加组	Add Group
添加共享纹理	Add Shared Texture
添加仪表板链接	Add Dashboard Link
添加 IFrame	Add IFrame
添加输入	Add Input
添加输出	Add Output
动作输入	Action Input
映射输入	Mapping Input
动作结果	Action Consequence
映射输出	Mapping Output
输入	Input
输出	Output
结果 真	Consequence TRUE
结果 假	Consequence FALSE
复制条件	Copy conditions
粘贴条件	Paste conditions
复制真结果	Copy consequences TRUE
粘贴真结果	Paste consequences TRUE
复制假结果	Copy consequences FALSE
粘贴假结果	Paste consequences FALSE
移除连接	Remove connection
取消链接	Unlink
来自表达式	From Expression
来自第一个元素	From First Element
来自输入值	From Input Values
来自容器	From Container
容器模式	Container Mode
更改所有缓动	Change all easings
添加整数参数	Add Int Argument
添加浮点参数	Add Float Argument
添加字符串参数	Add String Argument
添加布尔参数	Add Boolean Argument
添加颜色参数	Add Color Argument
添加二维点参数	Add Point2D Argument
添加三维点参数	Add Point3D Argument
添加音符	Add Note
添加控制变化	Add Control Change
添加弯音轮	Add Pitch Wheel
添加通道压力	Add Channel Pressure
添加触后	Add After Touch
添加程序变化	Add Program Change
复制样式	Copy Style
粘贴样式	Paste Style
添加仪表板	Add Dashboard
常规	General
将当前选择导出为稍后可导入的 *.lilnut 文件	This will export the current selection as *.lilnut file that can be later imported
导入 *.lilnut 文件并添加到当前项目	This will import a *.lilnut file and add it to the current noisette
Timeout	Timeout
切换 模式	Toggle Mode
切换 图像	Toggle image
左上	Top Left
主题	Topic
幻灯片总数	Total Slides
节拍总数	Total beats
触摸位置	Touch Position
轨道	Track
已跟踪	Tracked
触发器大小	Trigger Size
触发器处理	Triggers Process
裁剪到第一条数据	Trim To First Data
裁剪到最后一条数据	Trim to Last Data
URL	URL
仅解锁一次	Unlock Only Once
上	Up
更新渠道	Update Channel
更新率	Update Rate
启动时更新帮助	Update help on startup
更新率	Update rate
使用自定义输入范围	Use Custom Input Range
使用层级结构	Use Hierarchy
使用抖动阈值	Use Jitter Threshold
使用 LTC 日期	Use LTC Date
使用多播	Use Multicast
使用音高作为音符名称	Use Pitch For Note Names
使用 TLS	Use TLS
使用地址命名	Use address for naming
用户名	Username
验证进度	Validation Progress
验证时间	Validation Time
速度	Velocity
触摸时振动	Vibrate On Touch
振动类型	Vibration Type
查看值范围	View Value Range
视图 UI 位置	ViewUIPosition
视图 UI 尺寸	ViewUISize
音量	Volume
星期名称	Week Day Name
星期	Week day
滚轮增量	Wheel Delta
滚轮增量 - 水平	Wheel Delta - Horizontal
滚轮增量 - 垂直	Wheel Delta - Vertical
滚轮方向	Wheel Orientation
工作区 ID	Workspace ID
写入 UUID	Write UUID
X	X
Y	Y
偏航	Yaw
年	Year
ZL	ZL
ZR	ZR
显示名称	display name
建议分辨率	resolution recommended
显示学习按钮	Show Learn Button
显示父级名称	Show Parent Name
显示吸附网格	Show Snap Grid
显示值	Show Value
Shutter 音频 状态	Shutter Audio Status
Shutter Video 状态	Shutter Video Status
侧边索引	Side Index
静默模式	Silent mode
简化方法	Simplification Method
简化容差	Simplification Tolerance
大小	Size
平滑	Smoothing
吸附网格模式	Snap Grid Mode
吸附网格大小	Snap Grid Size
拆分参数	Split Arguments
扩散周期	Spread cycles
交错	Stagger
交错进度	Stagger Progression
开始	Start
从 0 开始	Start at 0
状态	Status
步长	Step Size
结束时停止	Stop at Finish
停止/时间/播放	Stop/Time/Play
字符串大小	String Size
样式	Style
后缀	Suffix
同步	Sync
系统运行时间	System Up Time
Tabs BG 颜色	Tabs BG Color
Tabs 边框 颜色	Tabs Border Color
Tabs 边框 宽度	Tabs Border Width
Tabs 标签 颜色	Tabs Label Color
Tabs 已选择 BG 颜色	Tabs Selected BG Color
Tabs 已选择 边框 颜色	Tabs Selected Border Color
Tabs 已选择 边框 宽度	Tabs Selected Border Width
Tabs 已选择 标签 颜色	Tabs Selected Label Color
点击速度平均	Tap tempo averaging
每个周期的点击速度	Tap tempo per cycle
锥度 1	Taper 1
锥度 2	Taper 2
目标设备	Target Device
目标组	Target Group
目标最大值	Target Max
目标最小值	Target Min
目标最小值/最大值	Target Min/Max
目标位置	Target Position
目标预设	Target Preset
目标预设 2	Target Preset 2
目标大小	Target Size
温度错误	Temperature error
文字	Text
文字颜色	Text Color
文字大小	Text Size
文字大小	Text size
纹理名称	Texture Name
滴答	Tick
时间窗口	Time Window
随机性	Randomness
范围	Range
范围重映射模式	Range Remap Mode
原始 Accel X	Raw Accel X
原始 Accel Y	Raw Accel Y
原始 Accel Z	Raw Accel Z
Read UUID	Read UUID
Record 发送 模式	Record Send Mode
刷新	Refresh
刷新率	Refresh Rate
Regex 模式	Regex Mode
相对	Relative
相对位置	Relative position
启动时重新加载字体渲染器	Reload font renderer on startup
重映射到 0-	Remap to 0-
远程主机	Remote Host
远程端口	Remote port
替换	Replace
Resolume Version	Resolume Version
结果类型	Result Type
右	Right
右加速度	Right Accel
右轴	Right Axis
右手张开	Right Hand Open
右手 X	Right Hand X
右手 Y	Right Hand Y
右方向	Right Orientation
右 SL	Right SL
右 SR	Right SR
右摇杆	Right Stick
右键	Right button
Roll	Roll
Row	Row
将布局保存到文件	Save Layout in file
场景	Scene
屏幕	Screen
屏幕亮度	Screen Brightness
Seconds	Seconds
加载后发送	Send After Load
发送分析数据	Send Analytics
发送时钟	Send Clock
发送日志反馈	Send Log Feedback
仅在更改时发送	Send On Change Only
仅在输入更改时发送	Send On Input Change Only
仅在输出更改时发送	Send On Output Change Only
发送速率	Send Rate
激活时发送	Send on Activate
监听时发送更新	Send update on listen
分隔符	Separator
序列索引	Sequence Index
服务器端口	Server Port
服务 UUID	Service UUID
在客户端中设置	Set in Clients
在原生端设置	Set in Native
形状	Shape
Shift	Shift
Shift 已按下	Shift pressed
启动时显示仪表板	Show Dashboard on startup
显示完整地址	Show Full Address
显示标签	Show Label
Nunchuck Y	Nunchuck Y
开启时间	ON Time
OS 名称	OS Name
OS 类型	OS Type
OSC 反馈 端口	OSC Feedback Port
Octave	Octave
Octave Shift	Octave Shift
Octaves	Octaves
偏移	Offset
偏移 值	Offset values
加载时行为	On Load Behavior
开启时间	On Time
单音符开启	One Note On
仅同步同名项目	Only sync from same name
Opaque Background	Opaque Background
操作	Operation
运算符	Operator
其他错误	Other error
Out 音量	Out Volume
Pad	Pad
参数	Parameter
参数 ID	Parameter ID
参数名称	Parameter name
参数类型	Parameter type
父级标签层级	Parent Label Level
密码	Password
模式	Pattern
负载	Payload
对等端	Peers
相位偏移	Phase Offset
Ping 间隔	Ping Interval
Ping 超时	Ping Timeout
音高	Pitch
音高 / 数字	Pitch / Number
音高检测方法	Pitch Detection Method
播放	Play
从头播放	Play From Start
播放模式	Play Mode
播放进度	Play Progression
播放状态	Play State
点	Point
点距离	Point Distance
二维点控件尺寸	Point2D Size
三维点控件尺寸	Point3D Size
电源状态	Power Status
Pre 开始	Pre Start
Precision	Precision
前缀	Prefix
预览索引	Preview Index
进程运行时间	Process Up Time
产品名称	Product name
程序	Program
投影机 ID	Projector ID
协议	Protocol
量化值	Quantum
R	R
RTS	RTS
随机	Random
随机且始终唯一	Random Always Unique
左	Left
左加速度	Left Accel
左轴	Left Axis
左手张开	Left Hand Open
左手 X	Left Hand X
左手 Y	Left Hand Y
左方向	Left Orientation
左 SL	Left SL
左 SR	Left SR
左摇杆	Left Stick
左 按钮	Left button
长度	Length
级别	Level
已链接序列	Linked Sequence
列表大小	ListSize
监听	Listen
监听反馈	Listen to Feedback
加载上次	Load last
加载指定	Load specific
启动时加载上一个 .noisette	Load last .noisette on startup
启动时加载指定的 .noisette	Load specific .noisette on startup
启动时加载的文件	File to load on startup
本地	Local
已锁定	Locked
日志	Log
日志类型	Log Type
MAC	MAC
MAC 地址	MAC Address
MIDI 路由器输出类型	MIDI Router Ouput Type
MTC 时间	MTC Time
最大分贝	Max DB
最大索引	Max Index
内存使用量	Memory Usage
消息	Message
消息结构	Message Structure
方法	Method
中键	Middle button
最小截止频率	Min Cutoff
最小分贝	Min DB
最小索引	Min Index
迷你模式	MiniMode
分钟	Minutes
型号	Model
监视器输出：	Monitor Out :
监听音量	Monitor Volume
月份	Month
月中的日期	Month day
月份名称	Month name
MotionPlus	MotionPlus
多播地址	Multicast Adresse
多播模式	Multicast Mode
多播端口	Multicast port
NL	NL
归一化	Normalize
音符	Note
客户端数量	Num Clients
点数量	Num Points
投影机数量	Num Projectors
字节数	Num bytes
小数位数	Number of Decimals
人数	Number of Persons
摇杆	Nunchuck
摇杆 X	Nunchuck X
GPIO	GPIO
GPIO 编号	GPIO Number
手部距离	Hands Distance
手部旋转	Hands Rotation
强制终止	Hard kill
头部 X	Head X
头部 Y	Head Y
头部 Z	Head Z
触摸时高亮	Highlight On Touch
高亮已按下按钮	Highlight pressed buttons
主页	Home
小时	Hour
ID	ID
IP	IP
图像	Image
索引	Index
输入增益	Input Gain
输入列表	Input List
输入最小值/最大值	Input Min/Max
输入值	Input Value
输入分辨率	Input resolution
整数大小	Int Size
整数样式	Int Style
插值时间	Interpolation time
失效时间	Invalidation Time
已绑定	Is Bound
LTC 正在播放	Is LTC Playing
本地	Is Local
MTC 正在播放	Is MTC Playing
在线	Is Online
正在录制	Is Recording
可见	Is Visible
抖动阈值	Jitter Threshold
保持连接	Keep Alive
保持饱和度	Keep Saturation
保持值	Keep Values
同步时保留数值	Keep Values On Sync
关键帧同步	Key Sync
旋钮	Knob
旋钮灵敏度	Knob sensitivity
L	L
LTC 通道	LTC Channel
LTC 超出范围模式	LTC Out of Range Mode
LTC 同步模块	LTC Sync Module
LTC 同步容差	LTC Sync Tolerance
LTC 时间	LTC Time
灯泡错误	Lamp error
灯泡型号	Lamp model
灯泡小时数	Lamp(s) hours
最后通道	Last Channel
最后一个片段	Last Clip
最后按键	Last Key
最后按键代码	Last Key Code
最后音高	Last Pitch
最后力度	Last Velocity
启动选项	Launch Options
启动时最小化	Launch minimized
系统启动时运行	Launch on system startup
层	Layer
自定义 WebSocket 端口	Custom Websocket Port
自定义描述	Custom description
自定义文字	Custom text
DMX 类型	DMX Type
DTR	DTR
仪表板目标	Dashboard Target
装饰	Decoration
默认协议	Default Protocol
延迟	Delay
设备	Device
设备选择	Device Select
设备类型	Device type
图表不透明度	Diagram Opacity
Down	Down
缓动类型	Easing Type
编辑模式	Edit Mode
Editable	Editable
效果 ID	Effect ID
效果名称	Effect name
启用仪表板服务器	Enable Dashboard Server
End	End
Enum 大小	Enum Size
Enum 样式	Enum Style
在网页中公开	Expose on Web
额外标头	Extra Headers
额外按钮 1	Extra button 1
额外按钮 2	Extra button 2
Extract 组件	Extract Component
FPS	FPS
下降平滑	Fall Smoothing
风扇错误	Fan error
文件名	File Name
滤镜	Filter
滤镜模型	Filter Model
滤镜错误	Filter error
滤镜用法	Filter usage
固件	Firmware
第一个片段	First Clip
第一 值 is the 名称	First value is the name
固定前导	Fixed Leading
浮点大小	Float Size
浮点样式	Float Style
焦点范围	Focus Range
聚焦最后一个动作	Focus on Last Action
字体重载延迟	Font reload delay
强制	Force
强制 Case	Force Case
强制连续处理	Force Continuous Process
强制 Float	Force Float
强制从头播放	Force Play from start
强制起始值	Force Start Value
前景色	Foreground Color
格式	Format
频率	Freq
频率	Frequency
频率振幅	Frequency Amplitude
摩擦力	Friction
全天时间	Full Day Time
完整范围	Full Range
加载时全屏	Full Screen on load
边框宽度	Border Width
右下	Bottom right
品牌	Brend
亮度	Brightness
置于顶部	Bring to top
按钮	Button
按钮 +	Button +
按钮 -	Button -
按钮 1	Button 1
按钮 2	Button 2
按钮 A	Button A
按钮 B	Button B
按钮 C	Button C
按钮下	Button Down
Home 按钮	Button Home
按钮左	Button Left
按钮右	Button Right
按钮上	Button Up
按钮 Z	Button Z
CC 编号	CC Number
CC 值	CC Value
CPU 使用量	CPU Usage
CR	CR
回调	Callback
触发时取消延迟	Cancel delays on Trigger
画布大小	Canvas Size
捕获	Capture
输出通道：	Channel Out :
激活时检查过渡	Check transitions on activate
启动时检查更新	Check updates on startup
客户端 ID	Client ID
Clip	Clip
关闭时移到系统托盘	Close to system tray
颜色发送模式	Color Send Mode
颜色 大小	Color Size
图像着色	Colorize images
列	Column
命令	Command
命令行	Command Line
比较函数	Comparison Function
组件	Component
连接	Connect
转换模式	Convert Mode
数量	Count
封面错误	Cover error
Ctrl	Ctrl
Ctrl 已按下	Ctrl Pressed
提示触发结果	Cue Trigger Consequences
提示触发设为当前	Cue Trigger Set Current
Cur bar	Cur bar
Cur 节拍	Cur beat
当前组合	Current Combination
当前录制	Current Record
当前幻灯片	Current Slide
当前屏幕	Current screen
自定义图像	Custom Image
自定义 OSC 端口	Custom OSC Port
自定义分隔符	Custom Separator
+	+
-	-
A	A
绝对位置	Absolute position
加速度 X	Accel X
加速度 Y	Accel Y
加速度 Z	Accel Z
动作	Action
激活	Active
活动阈值	Activity Threshold
全部已连接	All Connected
全部关闭	All Powered Off
全部开启	All Powered On
允许多开	Allow Multiple Instances
Alt	Alt
Alt 已按下	Alt Pressed
Alt 缩放系数	Alt Scale factor
始终触发	Always Trigger
锚点 1	Anchor 1
锚点 2	Anchor 2
应用文件 1	App File 1
应用名称	App Name
追加 CR	Append CR
追加 NL	Append NL
参数名称	Argument name
异步	Asynchronous
吸引力	Attraction
吸引力速度	Attraction speed
吸引力更新率	Attraction update rate
音频文件	Audio file
自动添加	Auto Add
自动反馈	Auto Feedback
自动刷新屏幕	Auto Refresh Screen
自动请求计时器	Auto Request Timer
自动添加	Auto add
轴	Axis
B	B
BPM	BPM
背景透明度	Background Alpha
背景颜色	Background Color
背景图像	Background Image
背景图像透明度	Background Image Alpha
背景图像缩放	Background Image Scale
基础地址	Base Address
基础颜色	Base Color
电池	Battery
波特率	Baud Rate
节拍进度	Beat progression
节拍从 1 开始	Beats Start at 1
测试版	Beta
身体 X	Body X
身体 Y	Body Y
身体 Z	Body Z
布尔值大小	Bool Size
布尔值样式	Bool Style
布尔值发送模式	Boolean Send Mode
边框颜色	Border Color
边框半径	Border Radius
边框厚度	Border Thickness
视频关闭	Video Off
视频和音频关闭	Video & Audio Off
视频和音频开启	Video & Audio On
视频开启	Video On
设置分配范围	Set the assignation range
设置列表中所有参数的新范围	Set a new range for all parameters in the list
设置此参数的新值	Set new values for this parameter
设置此参数的新范围	Set new bounds for this parameter
超长时高音 (veeeeeeee)	Really long length high-pitched (veeeeeeee)
跳转到 0	Jump to 0
跳转到最近位置	Jump to Closest
跳转到结束位置	Jump to End
跳过此版本	Skip this version
近乎静音 (vr)	Almost silent (vr)
近乎静音 (vrm)	Almost silent (vrm)
选择手柄	Select a gamepad
选择音频模块	Choose an audio module
逗号（,）分隔	Comma (,) separated
配置此值的参数	Configure the parameters for this value
欢迎捐赠	Be cool and donate
长时高音 (veeeeeee)	Long length high-pitched (veeeeeee)
音频关闭	Audio Off
音频开启	Audio On
频道	Channels
验证	Validate
更改二维点范围	Change point 2D bounds
更改颜色范围	Change color bounds
更新	Update
欢迎赞助！	Be even cooler and sponsor !
未找到 LiveOSC 插件	LiveOSC plugin not found
未找到 PowerPoint OSC 插件	Powerpoint OSC plugin not found
未连接或已断开	Not connected or disconnected
极长的持续振动 (veeeerrrrrrrr...)	Extremely long constant (veeeerrrrrrrr...)
正在断电	Powering OFF
正在通电	Powering ON
每字节 1 个值	1 value per byte
没有手柄连接	No gamepad connected
没有模块	No Module
没有音频模块	No audio module
添加一个值	Add a value
状态请求	Status Request
暂不	Not now
电源关闭	Power Off
电源开启	Power On
直接加载	Load directly
短促深沉振动 (vum)	Short deep vibration (vum)
好的	Ok, i guess
确定要删除此项目吗？	Are you sure you want to delete this ?
确定要移除此自定义模块吗？	Are you sure you want to remove this custom module ?
社区模块	Community Modules
空格分隔	Space separated
等号（=）分隔	Equals (=) separated
组	Group
结束时更改	Change at end
缓慢低沉 (vrrrmmm)	Slow and low (vrrrmmm)
缓慢低沉 (vrrrrmmm)	Slow and low (vrrrrmmm)
缓慢低沉 (vrrrrmmmmmm)	Slow and low (vrrrrmmmmmm)
缓慢低沉 (vrrrrmmmmmmmmmmmm)	Slow and low (vrrrrmmmmmmmmmmmm)
向上渐变 (...vvvoooeeeeee)	Ramp Up (...vvvoooeeeeee)
向上渐变 (.vvvoooeeeeee)	Ramp Up (.vvvoooeeeeee)
向上渐变 (ver-eh)	Ramp Up (ver-eh)
向上渐变 (voe)	Ramp Up (voe)
向上渐变 (vvoe)	Ramp Up (vvoe)
向上渐变 (vvooe)	Ramp Up (vvooe)
向上渐变 (vvooee)	Ramp Up (vvooee)
向上渐变 (vvvooe)	Ramp Up (vvvooe)
向上渐变 (vvvoooeee)	Ramp Up (vvvoooeee)
向上渐变 (vvvvvoooooeeee)	Ramp Up (vvvvvoooooeeee)
向上渐变 (vvvvvoooooooeeeee)	Ramp Up (vvvvvoooooooeeeee)
向下再向上渐变 (vvrrrmmmeeerrr)	Ramp Down & Up (vvrrrmmmeeerrr)
向下再向上渐变 (vvrrrmmmeeerrrrr)	Ramp Down & Up (vvrrrmmmeeerrrrr)
向下再向上渐变 (vvrrrrmmmmmeeeeee)	Ramp Down & Up (vvrrrrmmmmmeeeeee)
向下再向上渐变 (vvrrrrmmmmmeeeerrr)	Ramp Down & Up (vvrrrrmmmmmeeeerrr)
向下再向上渐变 (vvvrrreee)	Ramp Down & Up (vvvrrreee)
向下渐变 - 低沉细微 (vvrrmm)	Ramp Down - Low and Subtle (vvrrmm)
向下渐变 - 低沉细微 (vvrrmmmm)	Ramp Down - Low and Subtle (vvrrmmmm)
向下渐变 - 低沉细微 (vvvrrrmmmmm)	Ramp Down - Low and Subtle (vvvrrrmmmmm)
向下渐变 - 低沉细微 (vvvrrrmmmmmm)	Ramp Down - Low and Subtle (vvvrrrmmmmmm)
在外部编辑器中编辑此脚本	Edit this script in an external editor
在远程控制中隐藏。如果偏好设置中启用了远程控制，此项决定是否将此项目及其所有子项目公开到 OSCQuery 结构中	Hide in Remote Control. If remote control is enabled in Preferences, this decides whether to expose or not this (and all its children) to the OSCQuery structure
字符（有符号字节）	Char (signed Byte)
入门指南	Getting Started
开始录制	Record start
开始时更改	Change at start
快进	Fast forward
恢复上次状态	Restore last state
恢复自动保存？	Restore autosave ?
投影机/显示设备故障	Projector / Display Failure
知道了	Gotcha
文件格式错误	File format error
新的未保存会话	New unsaved session
映射	Mapping
更低沉的警报 (vu-ve-ve-ve-ve)	Deeper Alarm (vu-ve-ve-ve-ve)
更改三维点值	Change point 3D values
更改三维点范围	Change point 3D bounds
更改二维点值	Change point 2D values
一次中等时长振动 (veeeeee)	One medium length vibration (veeeeee)
一次中等时长振动 (vuum)	One medium length vibration (vuum)
一次短振动 (do)	One short vibration (do)
三次快速振动 (do-de-de)	Three quick vibrations (do-de-de)
上下渐变 (veeeeer-reeeeeh-reeh)	Up & Down (veeeeer-reeeeeh-reeh)
上下渐变 (veeeer-reeeeh)	Up & Down (veeeer-reeeeh)
上下渐变 (veeer-reeeh)	Up & Down (veeer-reeeh)
上下渐变 (veer-reeh)	Up & Down (veer-reeh)
上下渐变 (ver-reh-reee)	Up & Down (ver-reh-reee)
上下渐变 (ver-reh)	Up & Down (ver-reh)
下上渐变 (ver-ehh)	Down & Up (ver-ehh)
下上渐变 (ver-ehhh)	Down & Up (ver-ehhh)
下上渐变 (ver-ehhhh)	Down & Up (ver-ehhhh)
下上渐变 (verr-eeh)	Down & Up (verr-eeh)
下上渐变 (verr-eehhh)	Down & Up (verr-eehhh)
不分隔（只创建一个参数）	No separation (will create only one parameter)
不发送	Do not send
不可用时间	Unavailable Time
不执行操作	Do Nothing
两次快速振动 (do-de)	Two quick vibrations (do-de)
两次快速振动 (do-do)	Two quick vibrations (do-do)
中等时长高音 (veeeee)	Medium length high-pitched (veeeee)
二维 Voronoi	2D Voronoi
二维画布	2D Canvas
你确定要重新开始吗	So you want a fresh start
从高到低渐变 (veeeeoooo)	High to low ramp (veeeeoooo)
从高到低渐变 (vo)	High to low ramp (vo)
从高到低渐变 (voo)	High to low ramp (voo)
从高到低渐变 (vooo)	High to low ramp (vooo)
从高到低渐变 (voooo)	High to low ramp (voooo)
从高到低渐变 (vooooo)	High to low ramp (vooooo)
从高到低渐变 (vooooooo)	High to low ramp (vooooooo)
从高到低渐变 (voooooooo)	High to low ramp (voooooooo)
会话保存错误	Session save error
低沉中等振动 (vuuuuuuuu)	Low medium vibration (vuuuuuuuu)
停止录制	Record stop
